Nom,RegionID
Antananarivo Renivohitra,1
Antananarivo Avaradrano,1
Antananarivo Atsimondrano,1
Antsirabe I,2
Antsirabe II,2
Betafo,2
Miarinarivo,3
Arivonimamo,3
Soavinandriana,3
