Nom
Analamanga
Vakinankaratra
Itasy
Bongolava
Alaotra Mangoro
Atsinanana
Vatovavy Fitovinany
Atsimo Atsinanana
Ihorombe
Menabe
Atsimo Andrefana
Androy
Anosy
Diana
Sava
